OBJECTID,CODI_ENS,NOM_ENS,EQUIPAMENT,DISTRICTE,TITULARITAT,ZONACOBERTURA,WEB,X,Y,LAT,LON,EXTRACCIO
6796,08200,SANT BOI DE LLOBREGAT,Estadi municipal de futbol Joan Baptista Milà,03,CONCERTADA,DINS EQUIPAMENT,https://fcsantboia.cat/,419146.7704,4576851.6571,41.33909808,2.03365991,2024/04/22 13:28:08+00
6797,08200,SANT BOI DE LLOBREGAT,Complex Esportiu Baldiri Aleu,03,CONCERTADA,DINS EQUIPAMENT,www.complexbaldirialeu.com,419439.5027,4576924.415,41.33978269,2.03714846,2024/04/22 13:28:08+00
6798,08200,SANT BOI DE LLOBREGAT,Escola Esportiva Llor,01,PRIVADA,DINS EQUIPAMENT,https://fundaciollor.cat/,418419.7671,4578710.5361,41.35576659,2.02472231,2024/04/22 13:28:08+00
6799,08200,SANT BOI DE LLOBREGAT,Poliesportiu Municipal L'Olivera,02,CONCERTADA,DINS EQUIPAMENT,http://sbesports.cat/equipaments/pmlolivera,418830.9325,4578262.4755,41.35177273,2.02969698,2024/04/22 13:28:08+00
6800,08200,SANT BOI DE LLOBREGAT,Poliesportiu Municipal Can Massallera,04,CONCERTADA,DINS EQUIPAMENT,http://sbesports.cat/equipaments/poliesportiu-municipal-can-massallera,419944.8925,4577185.0173,41.34218016,2.04315366,2024/04/22 13:28:08+00
6801,08200,SANT BOI DE LLOBREGAT,Col·legi Joan Bardina,03,PRIVADA,DINS EQUIPAMENT,https://www.joanbardina.com/,419821.5925,4577324.9197,41.34342792,2.04166166,2024/04/22 13:28:08+00
6802,08200,SANT BOI DE LLOBREGAT,Escola Antoni Gaudí,02,CONCERTADA,DINS EQUIPAMENT,https://agora.xtec.cat/escolagaudisantboi/,419379.7239,4577971.0024,41.34920272,2.03629511,2024/04/22 13:28:08+00
6803,08200,SANT BOI DE LLOBREGAT,Institut Ítaca,04,CONCERTADA,,www.xtec.cat/iesitaca/,420221.5049,4577045.2731,41.340949,2.04647775,2024/04/22 13:28:08+00
6804,08200,SANT BOI DE LLOBREGAT,Institut Camps Blancs,05,CONCERTADA,DINS EQUIPAMENT,www.inscampsblancs.cat,418794.4319,4576531.5386,41.33617953,2.02949222,2024/04/22 13:28:08+00
6805,08200,SANT BOI DE LLOBREGAT,Institut Rubio i Ors,03,CONCERTADA,DINS EQUIPAMENT,www.rubioiors.com,419422.3851,4577228.8562,41.34252291,2.0369035,2024/04/22 13:28:08+00
6806,08200,SANT BOI DE LLOBREGAT,Institut Rafael Casanova,01,CONCERTADA,DINS EQUIPAMENT,www.xtec.cat/iesrafaelcasanova,418775.0751,4578662.0483,41.3553658,2.02897586,2024/04/22 13:28:08+00
6807,08200,SANT BOI DE LLOBREGAT,Institut Marianao,02,CONCERTADA,DINS EQUIPAMENT,https://www.institutmarianao.cat/ca/,418262.4905,4577995.4899,41.34931067,2.02293867,2024/04/22 13:28:08+00
6808,08200,SANT BOI DE LLOBREGAT,Col·legi Pedagògium Cos,03,PRIVADA,DINS EQUIPAMENT,www.pedadgogium-cos.cat,419605.3209,4577103.65,41.34141352,2.03910631,2024/04/22 13:28:08+00
6809,08200,SANT BOI DE LLOBREGAT,Institució Balmes I,05,PRIVADA,DINS EQUIPAMENT,https://agora.xtec.cat/escbalmes1/,419026.1319,4576634.0465,41.33712608,2.03224728,2024/04/22 13:28:08+00
6810,08200,SANT BOI DE LLOBREGAT,Centre Assistencial Prytanis Sant Boi,01,PRIVADA,DINS EQUIPAMENT,https://www.prytanis.com/es/contacto.html#centros,419618.1929,4578022.8654,41.34969365,2.03913843,2024/04/22 13:28:08+00
6811,08200,SANT BOI DE LLOBREGAT,Institució Balmes II,02,CONCERTADA,DINS EQUIPAMENT,https://agora.xtec.cat/ceebalmes2/,418002.5084,4578280.5747,41.35185182,2.01979285,2024/04/22 13:28:08+00
6812,08200,SANT BOI DE LLOBREGAT,"NAEKO Logistics, S.A",06,PRIVADA,DINS EQUIPAMENT,www.naeko.es,418894.9,4575436.9707,41.3263315,2.0308389,2024/04/22 13:28:08+00
6813,08200,SANT BOI DE LLOBREGAT,Residència Benviure,05,PRIVADA,DINS EQUIPAMENT,https://benviure.com/,418713.6098,4577384.8797,41.34385692,2.0284122,2024/04/22 13:28:08+00
6814,08200,SANT BOI DE LLOBREGAT,Schneider Electric (Planta 2),04,PRIVADA,DINS EQUIPAMENT,https://www.se.com/es/es/work/services/professional-services/logistica/servicios_logisticos_new.jsp,419658.7413,4575123.3014,41.32358294,2.04000662,2024/04/22 13:28:08+00
6815,08200,SANT BOI DE LLOBREGAT,Schneider Electric (planta 0),04,PRIVADA,DINS EQUIPAMENT,https://www.se.com/es/es/work/services/professional-services/logistica/servicios_logisticos_new.jsp,419670.383,4575111.9242,41.32348163,2.04014721,2024/04/22 13:28:08+00
6816,08200,SANT BOI DE LLOBREGAT,Schneider Electric (planta 2),04,PRIVADA,DINS EQUIPAMENT,https://www.se.com/es/es/work/services/professional-services/logistica/servicios_logisticos_new.jsp,419588.0974,4575062.0502,41.32302424,2.03917071,2024/04/22 13:28:08+00
6792,08200,SANT BOI DE LLOBREGAT,Masia de Can Julià,03,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/centres-oficials?authuser=0#h.uhm9mfekdqyp,420173.1378,4577405.2244,41.34418609,2.04585242,2024/04/22 13:28:07+00
6793,08200,SANT BOI DE LLOBREGAT,Complex Esportiu Municipal Pau Gasol,01,CONCERTADA,DINS EQUIPAMENT,http://www.duetsports.com,418429.6295,4578689.2619,41.35557598,2.02484306,2024/04/22 13:28:08+00
6794,08200,SANT BOI DE LLOBREGAT,Casal Gent Gran Ciutat Cooperativa,01,MUNICIPAL,DINS EQUIPAMENT,https://sites.google.com/view/directoridequipamentsb/casals-de-gent-gran,418978.0126,4578861.7722,41.35718504,2.03137493,2024/04/22 13:28:08+00
6795,08200,SANT BOI DE LLOBREGAT,Mercat Municipal Torre de la Vila,06,MUNICIPAL,DINS EQUIPAMENT,,419436.3247,4576357.1356,41.33467321,2.03718573,2024/04/22 13:28:08+00
6817,08200,SANT BOI DE LLOBREGAT,Schneider Electric (planta 0),04,PRIVADA,DINS EQUIPAMENT,https://www.se.com/es/es/work/services/professional-services/logistica/servicios_logisticos_new.jsp,419600.5328,4575049.3502,41.3229111,2.03932096,2024/04/22 13:28:08+00
